,inh 10,rif 15,pyra 50,abs1,,,inh 5,rif 10,pyra 30,abs2,,,,,,theta1,theta2,theta3
269,0.335,0.432,2.715,3.197,,269,0.162,0.303,1.785,2.355,,0.0335,0.0288,0.0543,,0.0324,0.0303,0.0595
270,0.327,0.421,2.81,3.411,,270,0.159,0.296,1.758,2.317,,0.0327,0.028066667,0.0562,,0.0318,0.0296,0.0586
271,0.318,0.409,2.639,3.121,,271,0.154,0.288,1.688,2.24,,0.0318,0.027266667,0.05278,,0.0308,0.0288,0.056266667
272,0.308,0.397,2.496,2.933,,272,0.149,0.279,1.608,2.129,,0.0308,0.026466667,0.04992,,0.0298,0.0279,0.0536
273,0.297,0.387,2.42,2.902,,273,0.144,0.271,1.531,2.06,,0.0297,0.0258,0.0484,,0.0288,0.0271,0.051033333
274,0.285,0.376,2.351,2.977,,274,0.138,0.263,1.482,1.979,,0.0285,0.025066667,0.04702,,0.0276,0.0263,0.0494
275,0.272,0.365,2.274,2.671,,275,0.132,0.256,1.438,1.922,,0.0272,0.024333333,0.04548,,0.0264,0.0256,0.047933333
276,0.258,0.355,2.225,2.631,,276,0.125,0.248,1.394,1.85,,0.0258,0.023666667,0.0445,,0.025,0.0248,0.046466667
277,0.245,0.346,2.105,2.531,,277,0.118,0.241,1.32,1.77,,0.0245,0.023066667,0.0421,,0.0236,0.0241,0.044
278,0.229,0.335,1.889,2.321,,278,0.11,0.233,1.185,1.614,,0.0229,0.022333333,0.03778,,0.022,0.0233,0.0395
279,0.214,0.326,1.617,2.023,,279,0.103,0.225,1.008,1.404,,0.0214,0.021733333,0.03234,,0.0206,0.0225,0.0336
280,0.199,0.318,1.306,1.715,,280,0.096,0.218,0.816,1.183,,0.0199,0.0212,0.02612,,0.0192,0.0218,0.0272
281,0.183,0.309,1.029,1.435,,281,0.088,0.21,0.643,0.979,,0.0183,0.0206,0.02058,,0.0176,0.021,0.021433333
282,0.168,0.301,0.795,1.195,,282,0.08,0.203,0.497,0.809,,0.0168,0.020066667,0.0159,,0.016,0.0203,0.016566667
283,0.153,0.294,0.621,1.009,,283,0.073,0.197,0.387,0.676,,0.0153,0.0196,0.01242,,0.0146,0.0197,0.0129
284,0.139,0.288,0.496,0.871,,284,0.066,0.192,0.308,0.579,,0.0139,0.0192,0.00992,,0.0132,0.0192,0.010266667
285,0.126,0.281,0.396,0.758,,285,0.06,0.187,0.245,0.502,,0.0126,0.018733333,0.00792,,0.012,0.0187,0.008166667
286,0.114,0.274,0.326,0.677,,286,0.053,0.182,0.203,0.446,,0.0114,0.018266667,0.00652,,0.0106,0.0182,0.006766667
287,0.102,0.269,0.276,0.616,,287,0.048,0.178,0.172,0.405,,0.0102,0.017933333,0.00552,,0.0096,0.0178,0.005733333
288,0.092,0.265,0.241,0.571,,288,0.043,0.175,0.151,0.374,,0.0092,0.017666667,0.00482,,0.0086,0.0175,0.005033333
289,0.082,0.261,0.216,0.535,,289,0.037,0.172,0.135,0.35,,0.0082,0.0174,0.00432,,0.0074,0.0172,0.0045
290,0.073,0.257,0.199,0.509,,290,0.033,0.169,0.124,0.333,,0.0073,0.017133333,0.00398,,0.0066,0.0169,0.004133333
291,0.066,0.253,0.187,0.489,,291,0.03,0.167,0.117,0.319,,0.0066,0.016866667,0.00374,,0.006,0.0167,0.0039
292,0.059,0.252,0.18,0.475,,292,0.026,0.166,0.112,0.311,,0.0059,0.0168,0.0036,,0.0052,0.0166,0.003733333
293,0.054,0.249,0.176,0.465,,293,0.024,0.164,0.11,0.304,,0.0054,0.0166,0.00352,,0.0048,0.0164,0.003666667
294,0.049,0.248,0.175,0.459,,294,0.021,0.163,0.109,0.3,,0.0049,0.016533333,0.0035,,0.0042,0.0163,0.003633333
295,0.045,0.248,0.175,0.455,,295,0.02,0.162,0.109,0.298,,0.0045,0.016533333,0.0035,,0.004,0.0162,0.003633333
296,0.042,0.247,0.177,0.453,,296,0.018,0.162,0.11,0.297,,0.0042,0.016466667,0.00354,,0.0036,0.0162,0.003666667
