,inh 5,rif 10,pyra 30,abs,,theta1,theta2,theta3
317,0.001,0.229,0.125,0.366,,0.0002,0.0229,0.004166667
318,0.002,0.236,0.122,0.368,,0.0004,0.0236,0.004066667
319,0.001,0.242,0.118,0.369,,0.0002,0.0242,0.003933333
320,0.001,0.247,0.113,0.369,,0.0002,0.0247,0.003766667
321,0.001,0.253,0.108,0.368,,0.0002,0.0253,0.0036
322,0,0.258,0.103,0.367,,0,0.0258,0.003433333
323,0,0.264,0.097,0.367,,0,0.0264,0.003233333
324,0,0.269,0.09,0.364,,0,0.0269,0.003
325,-0.001,0.273,0.084,0.362,,-0.0002,0.0273,0.0028
326,-0.001,0.277,0.078,0.36,,-0.0002,0.0277,0.0026
327,-0.001,0.282,0.072,0.357,,-0.0002,0.0282,0.0024
328,-0.001,0.285,0.066,0.354,,-0.0002,0.0285,0.0022
329,-0.001,0.289,0.061,0.35,,-0.0002,0.0289,0.002033333
330,-0.001,0.291,0.056,0.347,,-0.0002,0.0291,0.001866667
331,-0.001,0.292,0.051,0.343,,-0.0002,0.0292,0.0017
332,-0.001,0.295,0.046,0.34,,-0.0002,0.0295,0.001533333
333,-0.001,0.295,0.041,0.335,,-0.0002,0.0295,0.001366667
334,-0.002,0.295,0.037,0.33,,-0.0004,0.0295,0.001233333
335,-0.001,0.295,0.033,0.325,,-0.0002,0.0295,0.0011
336,-0.001,0.293,0.028,0.319,,-0.0002,0.0293,0.000933333
337,-0.001,0.289,0.024,0.311,,-0.0002,0.0289,0.0008
338,-0.001,0.287,0.022,0.305,,-0.0002,0.0287,0.000733333
339,-0.002,0.281,0.018,0.298,,-0.0004,0.0281,0.0006
340,-0.001,0.277,0.017,0.289,,-0.0002,0.0277,0.000566667
341,-0.001,0.268,0.013,0.278,,-0.0002,0.0268,0.000433333
342,-0.002,0.26,0.01,0.268,,-0.0004,0.026,0.000333333
343,-0.003,0.25,0.008,0.256,,-0.0006,0.025,0.000266667
344,-0.002,0.242,0.006,0.246,,-0.0004,0.0242,0.0002
345,-0.002,0.231,0.005,0.234,,-0.0004,0.0231,0.000166667
346,-0.002,0.222,0.004,0.223,,-0.0004,0.0222,0.000133333
347,-0.001,0.211,0.004,0.212,,-0.0002,0.0211,0.000133333
348,-0.001,0.201,0.002,0.201,,-0.0002,0.0201,6.67E-05
349,-0.001,0.191,0,0.19,,-0.0002,0.0191,0
350,-0.002,0.179,0,0.18,,-0.0004,0.0179,0
